playerID,year,team,sacks,interceptions,longestIntReturned
quinnjohnson/79593,2013,Tennessee Titans,0,0,0
quinnjohnson/79593,2012,Tennessee Titans,0,0,0
quinnjohnson/79593,2011,Tennessee Titans,0,0,0
quinnjohnson/79593,2011,Denver Broncos,0,0,0
quinnjohnson/79593,2010,Green Bay Packers,0,0,0
quinnjohnson/79593,2009,Green Bay Packers,0,0,0
l.t.walton/2552444,2016,Pittsburgh Steelers,0,0,0
l.t.walton/2552444,2015,Pittsburgh Steelers,0,0,0
ronrivera/2502679,1992,Chicago Bears,1,0,0
ronrivera/2502679,1991,Chicago Bears,0,0,0
ronrivera/2502679,1990,Chicago Bears,0,2,13
ronrivera/2502679,1989,Chicago Bears,2,2,1
ronrivera/2502679,1988,Chicago Bears,2,2,0
ronrivera/2502679,1987,Chicago Bears,1,2,15
ronrivera/2502679,1986,Chicago Bears,1,0,0
ronrivera/2502679,1985,Chicago Bears,0.5,1,4
ronrivera/2502679,1984,Chicago Bears,0,0,0
montaereagor/2502600,2007,Philadelphia Eagles,1,0,0
montaereagor/2502600,2006,Indianapolis Colts,1,0,0
montaereagor/2502600,2005,Indianapolis Colts,5.5,0,0
montaereagor/2502600,2004,Indianapolis Colts,5,0,0
montaereagor/2502600,2003,Indianapolis Colts,0.5,0,0
montaereagor/2502600,2002,Denver Broncos,1,1,31
montaereagor/2502600,2001,Denver Broncos,1,0,0
montaereagor/2502600,2000,Denver Broncos,2,0,0
montaereagor/2502600,1999,Denver Broncos,0,0,0
joetafoya/2504656,2007,Arizona Cardinals,2,0,0
joetafoya/2504656,2006,Seattle Seahawks,0,0,0
joetafoya/2504656,2005,Seattle Seahawks,1,0,0
joetafoya/2504656,2003,Chicago Bears,0,0,0
joetafoya/2504656,2002,Chicago Bears,0.5,0,0
joetafoya/2504656,2001,Chicago Bears,0,0,0
bryanhall/2530581,2012,Baltimore Ravens,0,0,0
kurtcoleman/494261,2016,Carolina Panthers,1,4,37
kurtcoleman/494261,2015,Carolina Panthers,1,7,36
kurtcoleman/494261,2014,Kansas City Chiefs,0,3,12
kurtcoleman/494261,2013,Philadelphia Eagles,0,0,0
kurtcoleman/494261,2012,Philadelphia Eagles,0,2,7
kurtcoleman/494261,2011,Philadelphia Eagles,0,4,35
kurtcoleman/494261,2010,Philadelphia Eagles,0,1,7
t.j.carrie/2550164,2016,Oakland Raiders,0,1,14
t.j.carrie/2550164,2015,Oakland Raiders,0,1,2
t.j.carrie/2550164,2014,Oakland Raiders,0,1,28
fredweary/2503572,2003,St. Louis Rams,0,0,0
fredweary/2503572,2002,Atlanta Falcons,0,1,14
fredweary/2503572,2001,New Orleans Saints,0,0,0
fredweary/2503572,2000,New Orleans Saints,2,2,27
fredweary/2503572,1999,New Orleans Saints,0,2,27
fredweary/2503572,1998,New Orleans Saints,0,2,63
nateallen/2508043,2016,Oakland Raiders,0,2,4
nateallen/2508043,2015,Oakland Raiders,0,1,5
nateallen/2508043,2014,Philadelphia Eagles,1,4,40
nateallen/2508043,2013,Philadelphia Eagles,1,1,43
nateallen/2508043,2012,Philadelphia Eagles,0,0,0
nateallen/2508043,2011,Philadelphia Eagles,0,2,31
nateallen/2508043,2010,Philadelphia Eagles,2,3,16
jasonbaker/2504395,2011,Carolina Panthers,0,0,0
jasonbaker/2504395,2010,Carolina Panthers,0,0,0
jasonbaker/2504395,2009,Carolina Panthers,0,0,0
jasonbaker/2504395,2008,Carolina Panthers,0,0,0
jasonbaker/2504395,2007,Carolina Panthers,0,0,0
jasonbaker/2504395,2006,Carolina Panthers,0,0,0
jasonbaker/2504395,2005,Carolina Panthers,0,0,0
jasonbaker/2504395,2004,Denver Broncos,0,0,0
jasonbaker/2504395,2004,Indianapolis Colts,0,0,0
jasonbaker/2504395,2004,Kansas City Chiefs,0,0,0
jasonbaker/2504395,2003,Kansas City Chiefs,0,0,0
jasonbaker/2504395,2002,Philadelphia Eagles,0,0,0
jasonbaker/2504395,2002,San Francisco 49ers,0,0,0
jasonbaker/2504395,2001,San Francisco 49ers,0,0,0
fabianwashington/2506362,2010,Baltimore Ravens,0,0,0
fabianwashington/2506362,2009,Baltimore Ravens,0,0,0
fabianwashington/2506362,2008,Baltimore Ravens,0,1,12
fabianwashington/2506362,2007,Oakland Raiders,0,1,0
fabianwashington/2506362,2006,Oakland Raiders,0,4,7
fabianwashington/2506362,2005,Oakland Raiders,0,0,0
devantebausby/2553790,2016,Chicago Bears,0,0,0
jasonwebster/2504264,2008,New England Patriots,0,0,0
jasonwebster/2504264,2007,Buffalo Bills,0,0,0
jasonwebster/2504264,2006,Atlanta Falcons,0,2,3
jasonwebster/2504264,2005,Atlanta Falcons,0,1,19
jasonwebster/2504264,2004,Atlanta Falcons,0,1,18
jasonwebster/2504264,2003,San Francisco 49ers,0,1,17
jasonwebster/2504264,2002,San Francisco 49ers,0,1,37
jasonwebster/2504264,2001,San Francisco 49ers,0.5,3,31
jasonwebster/2504264,2000,San Francisco 49ers,0,2,70
trumainejohnson/2532877,2016,Los Angeles Rams,0,1,0
trumainejohnson/2532877,2015,St. Louis Rams,0,7,58
trumainejohnson/2532877,2014,St. Louis Rams,0,3,43
trumainejohnson/2532877,2013,St. Louis Rams,0,3,29
trumainejohnson/2532877,2012,St. Louis Rams,0,2,4
tonyelliott/2513563,1988,New Orleans Saints,1,0,0
tonyelliott/2513563,1987,New Orleans Saints,2,0,0
tonyelliott/2513563,1986,New Orleans Saints,3.5,0,0
tonyelliott/2513563,1985,New Orleans Saints,1,0,0
tonyelliott/2513563,1984,New Orleans Saints,0,0,0
tonyelliott/2513563,1983,New Orleans Saints,5.5,0,0
tonyelliott/2513563,1982,New Orleans Saints,0,0,0
ericframpton/2495605,2013,New Orleans Saints,0,0,0
ericframpton/2495605,2012,Dallas Cowboys,0,0,0
ericframpton/2495605,2011,Minnesota Vikings,0,0,0
ericframpton/2495605,2010,Minnesota Vikings,0,0,0
ericframpton/2495605,2009,Minnesota Vikings,0,0,0
ericframpton/2495605,2008,Minnesota Vikings,0,0,0
ericframpton/2495605,2007,Minnesota Vikings,0,0,0
ericframpton/2495605,2007,Detroit Lions,0,0,0
perryriley/496949,2016,Oakland Raiders,0,0,0
perryriley/496949,2015,Washington Redskins,0,2,7
perryriley/496949,2014,Washington Redskins,2,0,0
perryriley/496949,2013,Washington Redskins,3,1,0
perryriley/496949,2012,Washington Redskins,3.5,0,0
perryriley/496949,2011,Washington Redskins,1,0,0
perryriley/496949,2010,Washington Redskins,0,0,0
willblackmon/2495809,2016,Washington Redskins,0.5,1,79
willblackmon/2495809,2015,Washington Redskins,1,2,6
willblackmon/2495809,2014,Jacksonville Jaguars,1,0,0
willblackmon/2495809,2013,Jacksonville Jaguars,1,1,1
willblackmon/2495809,2011,New York Giants,0,0,0
willblackmon/2495809,2010,New York Giants,0,0,0
willblackmon/2495809,2009,Green Bay Packers,0,0,0
willblackmon/2495809,2008,Green Bay Packers,0,0,0
willblackmon/2495809,2007,Green Bay Packers,0,0,0
willblackmon/2495809,2006,Green Bay Packers,0,0,0
paulcarrington/2506618,2007,Denver Broncos,0,0,0
paulcarrington/2506618,2006,Atlanta Falcons,3,0,0
tommymaddox/2501842,2005,Pittsburgh Steelers,0,0,0
tommymaddox/2501842,2004,Pittsburgh Steelers,0,0,0
tommymaddox/2501842,2003,Pittsburgh Steelers,0,0,0
tommymaddox/2501842,2002,Pittsburgh Steelers,0,0,0
tommymaddox/2501842,2001,Pittsburgh Steelers,0,0,0
tommymaddox/2501842,1995,New York Giants,0,0,0
tommymaddox/2501842,1994,Los Angeles Rams,0,0,0
tommymaddox/2501842,1993,Denver Broncos,0,0,0
tommymaddox/2501842,1992,Denver Broncos,0,0,0
dariuseubanks/2541703,2015,Tampa Bay Buccaneers,0,0,0
dariuseubanks/2541703,2013,Cleveland Browns,0,0,0
derrickjohnson/2506538,2006,Atlanta Falcons,0,0,0
derrickjohnson/2506538,2006,Houston Texans,0,0,0
derrickjohnson/2506538,2005,San Francisco 49ers,1,0,0
jerryball/2499510,1999,Minnesota Vikings,1,0,0
jerryball/2499510,1999,Cleveland Browns,1,0,0
jerryball/2499510,1998,Minnesota Vikings,0,0,0
jerryball/2499510,1997,Minnesota Vikings,0,0,0
jerryball/2499510,1996,Oakland Raiders,3,1,66
jerryball/2499510,1995,Oakland Raiders,3,0,0
jerryball/2499510,1994,Los Angeles Raiders,3,0,0
jerryball/2499510,1993,Cleveland Browns,3,0,0
jerryball/2499510,1992,Detroit Lions,2.5,0,0
jerryball/2499510,1991,Detroit Lions,2,0,0
jerryball/2499510,1990,Detroit Lions,2,0,0
jerryball/2499510,1989,Detroit Lions,9,0,0
jerryball/2499510,1988,Detroit Lions,2,0,0
jerryball/2499510,1987,Detroit Lions,1,0,0
jordancarstens/2505752,2006,Carolina Panthers,0,0,0
jordancarstens/2505752,2005,Carolina Panthers,4,0,0
jordancarstens/2505752,2004,Carolina Panthers,0,0,0
orlandothomas/2503317,2001,Minnesota Vikings,0,1,0
orlandothomas/2503317,2000,Minnesota Vikings,1,1,0
orlandothomas/2503317,1999,Minnesota Vikings,0,2,27
orlandothomas/2503317,1998,Minnesota Vikings,0.5,2,27
orlandothomas/2503317,1997,Minnesota Vikings,0,2,1
orlandothomas/2503317,1996,Minnesota Vikings,0,5,34
orlandothomas/2503317,1995,Minnesota Vikings,0,9,45
titusyoung/2495253,2012,Detroit Lions,0,0,0
titusyoung/2495253,2011,Detroit Lions,0,0,0
gilbertgardner/2506038,2008,Chicago Bears,0,0,0
gilbertgardner/2506038,2008,Detroit Lions,0,0,0
gilbertgardner/2506038,2007,Tennessee Titans,0,0,0
gilbertgardner/2506038,2006,Indianapolis Colts,0,0,0
gilbertgardner/2506038,2005,Indianapolis Colts,1,1,16
gilbertgardner/2506038,2004,Indianapolis Colts,0,0,0
malikjackson/2532873,2016,Jacksonville Jaguars,6.5,0,0
malikjackson/2532873,2015,Denver Broncos,5,0,0
malikjackson/2532873,2014,Denver Broncos,3,0,0
malikjackson/2532873,2013,Denver Broncos,6,0,0
malikjackson/2532873,2012,Denver Broncos,0,0,0
rayfarmer/2500590,1998,Philadelphia Eagles,0,0,0
rayfarmer/2500590,1997,Philadelphia Eagles,1,0,0
rayfarmer/2500590,1996,Philadelphia Eagles,1,1,0
cliftongeathers/496784,2014,Pittsburgh Steelers,0,0,0
cliftongeathers/496784,2014,Washington Redskins,0,0,0
cliftongeathers/496784,2013,Philadelphia Eagles,0,0,0
cliftongeathers/496784,2012,Indianapolis Colts,1,0,0
cliftongeathers/496784,2011,Dallas Cowboys,0,0,0
cliftongeathers/496784,2010,Dallas Cowboys,0,0,0
cliftongeathers/496784,2010,Seattle Seahawks,0,0,0
cliftongeathers/496784,2010,Miami Dolphins,0,0,0
jasonbanks/2507366,2009,Arizona Cardinals,1,0,0
miketeeter/2503272,1995,Carolina Panthers,0,0,0
miketeeter/2503272,1994,Houston Oilers,0,0,0
miketeeter/2503272,1993,Houston Oilers,1,0,0
miketeeter/2503272,1991,Minnesota Vikings,0,0,0
brandontate/81306,2016,Buffalo Bills,0,0,0
brandontate/81306,2015,Cincinnati Bengals,0,0,0
brandontate/81306,2014,Cincinnati Bengals,0,0,0
brandontate/81306,2013,Cincinnati Bengals,0,0,0
brandontate/81306,2012,Cincinnati Bengals,0,0,0
brandontate/81306,2011,Cincinnati Bengals,0,0,0
brandontate/81306,2010,New England Patriots,0,0,0
brandontate/81306,2009,New England Patriots,0,0,0
coreyliuget/2495483,2016,San Diego Chargers,0,0,0
coreyliuget/2495483,2015,San Diego Chargers,3,0,0
coreyliuget/2495483,2014,San Diego Chargers,4.5,0,0
coreyliuget/2495483,2013,San Diego Chargers,5.5,0,0
coreyliuget/2495483,2012,San Diego Chargers,7,0,0
coreyliuget/2495483,2011,San Diego Chargers,1,0,0
markherzlich/2495164,2016,New York Giants,0,0,0
markherzlich/2495164,2015,New York Giants,0,0,0
markherzlich/2495164,2014,New York Giants,1,0,0
markherzlich/2495164,2013,New York Giants,0,0,0
markherzlich/2495164,2012,New York Giants,0,0,0
markherzlich/2495164,2011,New York Giants,0,0,0
johncarlson/1966,2014,Arizona Cardinals,0,0,0
johncarlson/1966,2013,Minnesota Vikings,0,0,0
johncarlson/1966,2012,Minnesota Vikings,0,0,0
johncarlson/1966,2010,Seattle Seahawks,0,0,0
johncarlson/1966,2009,Seattle Seahawks,0,0,0
johncarlson/1966,2008,Seattle Seahawks,0,0,0
chrischambers/2504695,2010,Kansas City Chiefs,0,0,0
chrischambers/2504695,2009,Kansas City Chiefs,0,0,0
chrischambers/2504695,2009,San Diego Chargers,0,0,0
chrischambers/2504695,2008,San Diego Chargers,0,0,0
chrischambers/2504695,2007,San Diego Chargers,0,0,0
chrischambers/2504695,2007,Miami Dolphins,0,0,0
chrischambers/2504695,2006,Miami Dolphins,0,0,0
chrischambers/2504695,2005,Miami Dolphins,0,0,0
chrischambers/2504695,2004,Miami Dolphins,0,0,0
chrischambers/2504695,2003,Miami Dolphins,0,0,0
chrischambers/2504695,2002,Miami Dolphins,0,0,0
chrischambers/2504695,2001,Miami Dolphins,0,0,0
colinallred/2506654,2010,Tennessee Titans,0,0,0
colinallred/2506654,2009,Tennessee Titans,0,0,0
colinallred/2506654,2008,Tennessee Titans,0,0,0
colinallred/2506654,2007,Tennessee Titans,0,0,0
leonlett/2501733,2001,Denver Broncos,0,0,0
leonlett/2501733,2000,Dallas Cowboys,2.5,0,0
leonlett/2501733,1999,Dallas Cowboys,1.5,0,0
leonlett/2501733,1998,Dallas Cowboys,4,0,0
leonlett/2501733,1997,Dallas Cowboys,0.5,0,0
leonlett/2501733,1996,Dallas Cowboys,3.5,0,0
leonlett/2501733,1995,Dallas Cowboys,3,0,0
leonlett/2501733,1994,Dallas Cowboys,4,0,0
leonlett/2501733,1993,Dallas Cowboys,0,0,0
leonlett/2501733,1992,Dallas Cowboys,3.5,0,0
leonlett/2501733,1991,Dallas Cowboys,0,0,0
kevinnorwood/2543689,2015,Carolina Panthers,0,0,0
kevinnorwood/2543689,2014,Seattle Seahawks,0,0,0
rayshunreed/2505722,2004,San Francisco 49ers,0,0,0
gregestandia/2506635,2009,Cleveland Browns,0,0,0
gregestandia/2506635,2009,Jacksonville Jaguars,0,0,0
gregestandia/2506635,2008,Jacksonville Jaguars,0,0,0
gregestandia/2506635,2007,Jacksonville Jaguars,0,0,0
gregestandia/2506635,2006,Jacksonville Jaguars,0,0,0
dariuswatts/2505950,2006,New York Giants,0,0,0
dariuswatts/2505950,2005,Denver Broncos,0,0,0
dariuswatts/2505950,2004,Denver Broncos,0,0,0
jojuanarmour/2499450,2002,Cincinnati Bengals,0,0,0
jojuanarmour/2499450,2001,Cincinnati Bengals,0,0,0
jojuanarmour/2499450,2000,Cincinnati Bengals,0,0,0
jojuanarmour/2499450,1999,Cincinnati Bengals,0,0,0
jojuanarmour/2499450,1999,Jacksonville Jaguars,0,0,0
