playerID,year,team,longestFG,percentageFG,percentagePAT
jeffhall/2500970,2000,St. Louis Rams,50,80,100
benagajanian/2508255,1964,San Diego Chargers,0,50,100
benagajanian/2508255,1962,Oakland Raiders,0,35.7,90.9
benagajanian/2508255,1961,Green Bay Packers,0,50,100
benagajanian/2508255,1961,Dallas Texans,0,33.3,100
benagajanian/2508255,1960,Los Angeles Chargers,0,54.2,97.9
benagajanian/2508255,1957,New York Giants,0,55.6,100
benagajanian/2508255,1956,New York Giants,0,38.5,100
benagajanian/2508255,1955,New York Giants,0,66.7,97
benagajanian/2508255,1954,New York Giants,0,52,100
benagajanian/2508255,1953,Los Angeles Rams,0,41.7,97.3
benagajanian/2508255,1949,New York Giants,0,61.5,97.2
benagajanian/2508255,1948,Los Angeles Dons,0,0,0
benagajanian/2508255,1947,Los Angeles Dons,0,0,0
benagajanian/2508255,1945,Pittsburgh Steelers,0,100,50
benagajanian/2508255,1945,Philadelphia Eagles,0,0,0
charliegogolak/2514998,1972,New England Patriots,0,75,100
charliegogolak/2514998,1971,New England Patriots,0,57.1,100
charliegogolak/2514998,1970,Boston Patriots,0,28.6,100
charliegogolak/2514998,1968,Washington Redskins,0,47.4,96.8
charliegogolak/2514998,1967,Washington Redskins,0,25,100
charliegogolak/2514998,1966,Washington Redskins,0,64.7,95.1
sebastianjanikowski/2504257,2016,Oakland Raiders,56,82.9,94.9
sebastianjanikowski/2504257,2015,Oakland Raiders,56,80.8,97.4
sebastianjanikowski/2504257,2014,Oakland Raiders,57,86.4,100
sebastianjanikowski/2504257,2013,Oakland Raiders,53,70,100
sebastianjanikowski/2504257,2012,Oakland Raiders,57,91.2,100
sebastianjanikowski/2504257,2011,Oakland Raiders,63,88.6,100
sebastianjanikowski/2504257,2010,Oakland Raiders,59,80.5,100
sebastianjanikowski/2504257,2009,Oakland Raiders,61,89.7,100
sebastianjanikowski/2504257,2008,Oakland Raiders,57,80,96.2
sebastianjanikowski/2504257,2007,Oakland Raiders,54,71.9,100
sebastianjanikowski/2504257,2006,Oakland Raiders,55,72,100
sebastianjanikowski/2504257,2005,Oakland Raiders,49,66.7,100
sebastianjanikowski/2504257,2004,Oakland Raiders,52,89.3,96.9
sebastianjanikowski/2504257,2003,Oakland Raiders,55,88,96.6
sebastianjanikowski/2504257,2002,Oakland Raiders,51,78.8,100
sebastianjanikowski/2504257,2001,Oakland Raiders,52,82.1,100
sebastianjanikowski/2504257,2000,Oakland Raiders,54,68.8,100
fredgehrke/2514741,1950,San Francisco 49ers,0,0,0
fredgehrke/2514741,1950,Chicago Cardinals,0,0,0
fredgehrke/2514741,1949,Los Angeles Rams,0,0,66.7
fredgehrke/2514741,1948,Los Angeles Rams,0,0,100
