playerID,year,team,gamesPlayed
quinnjohnson/79593,2013,Tennessee Titans,4
quinnjohnson/79593,2012,Tennessee Titans,16
quinnjohnson/79593,2011,Tennessee Titans,4
quinnjohnson/79593,2011,Denver Broncos,0
quinnjohnson/79593,2010,Green Bay Packers,11
quinnjohnson/79593,2009,Green Bay Packers,9
l.t.walton/2552444,2016,Pittsburgh Steelers,10
l.t.walton/2552444,2015,Pittsburgh Steelers,6
ronrivera/2502679,1992,Chicago Bears,16
ronrivera/2502679,1991,Chicago Bears,16
ronrivera/2502679,1990,Chicago Bears,14
ronrivera/2502679,1989,Chicago Bears,16
ronrivera/2502679,1988,Chicago Bears,16
ronrivera/2502679,1987,Chicago Bears,12
ronrivera/2502679,1986,Chicago Bears,16
ronrivera/2502679,1985,Chicago Bears,16
ronrivera/2502679,1984,Chicago Bears,15
montaereagor/2502600,2007,Philadelphia Eagles,7
montaereagor/2502600,2006,Indianapolis Colts,5
montaereagor/2502600,2005,Indianapolis Colts,13
montaereagor/2502600,2004,Indianapolis Colts,16
montaereagor/2502600,2003,Indianapolis Colts,13
montaereagor/2502600,2002,Denver Broncos,15
montaereagor/2502600,2001,Denver Broncos,8
montaereagor/2502600,2000,Denver Broncos,13
montaereagor/2502600,1999,Denver Broncos,9
joetafoya/2504656,2007,Arizona Cardinals,13
joetafoya/2504656,2006,Seattle Seahawks,13
joetafoya/2504656,2005,Seattle Seahawks,15
joetafoya/2504656,2003,Chicago Bears,16
joetafoya/2504656,2002,Chicago Bears,14
joetafoya/2504656,2001,Chicago Bears,5
bryanhall/2530581,2012,Baltimore Ravens,5
kurtcoleman/494261,2016,Carolina Panthers,15
kurtcoleman/494261,2015,Carolina Panthers,15
kurtcoleman/494261,2014,Kansas City Chiefs,15
kurtcoleman/494261,2013,Philadelphia Eagles,15
kurtcoleman/494261,2012,Philadelphia Eagles,14
kurtcoleman/494261,2011,Philadelphia Eagles,15
kurtcoleman/494261,2010,Philadelphia Eagles,15
t.j.carrie/2550164,2016,Oakland Raiders,16
t.j.carrie/2550164,2015,Oakland Raiders,15
t.j.carrie/2550164,2014,Oakland Raiders,13
fredweary/2503572,2003,St. Louis Rams,11
fredweary/2503572,2002,Atlanta Falcons,16
fredweary/2503572,2001,New Orleans Saints,14
fredweary/2503572,2000,New Orleans Saints,12
fredweary/2503572,1999,New Orleans Saints,16
fredweary/2503572,1998,New Orleans Saints,14
nateallen/2508043,2016,Oakland Raiders,14
nateallen/2508043,2015,Oakland Raiders,5
nateallen/2508043,2014,Philadelphia Eagles,15
nateallen/2508043,2013,Philadelphia Eagles,16
nateallen/2508043,2012,Philadelphia Eagles,15
nateallen/2508043,2011,Philadelphia Eagles,15
nateallen/2508043,2010,Philadelphia Eagles,13
jasonbaker/2504395,2011,Carolina Panthers,16
jasonbaker/2504395,2010,Carolina Panthers,16
jasonbaker/2504395,2009,Carolina Panthers,16
jasonbaker/2504395,2008,Carolina Panthers,16
